TOP SONGS:
112;Love You Like A Love Song;Selena Gomez & The Scene;DANCE_POP;2012;188;Cancion;74120
113;Set Fire to the Rain;Adele;BRITISH_SOUL;2012;242;Cancion;408153
114;We Are Never Ever Getting Back Together;Taylor Swift;POP;2012;193;Cancion;134827
115;Stronger (What Doesnt Kill You);Kelly Clarkson;DANCE_POP;2012;222;Cancion;732817
116;Try;P!nk;DANCE_POP;2012;248;Cancion;541345
117;Starships;Nicki Minaj;DANCE_POP;2012;211;Cancion;183278
118;One More Night;Maroon 5;POP;2012;220;Cancion;858112
119;Good Time;Owl City;POP;2012;206;Cancion;188200
120;Glad You Came;The Wanted;BOY_BAND;2012;198;Cancion;396808
121;Beauty And A Beat;Justin Bieber;canadian POP;2012;228;Cancion;981018
122;International Love;Pitbull;DANCE_POP;2012;227;Cancion;536534
123;Some Nights;fun.;BAROQUE_POP;2012;277;Cancion;562064
124;Boyfriend;Justin Bieber;canadian POP;2012;171;Cancion;14762
125;Part Of Me;Katy Perry;DANCE_POP;2012;216;Cancion;527651
126;Domino;Jessie J;AUSTRALIAN_POP;2012;232;Cancion;637326
127;Where Have You Been;Rihanna;BARBADIAN_POP;2012;243;Cancion;137663
128;Wide Awake;Katy Perry;DANCE_POP;2012;221;Cancion;542759
129;The One That Got Away;Katy Perry;DANCE_POP;2012;227;Cancion;460103
130;Dance Again;Jennifer Lopez;DANCE_POP;2012;237;Cancion;888115
131;Turn Up the Music;Chris Brown;DANCE_POP;2012;228;Cancion;88839
132;Lights - Single Version;Ellie Goulding;DANCE_POP;2012;211;Cancion;432917
133;We Are Young (feat. Janelle Mon�e);fun.;BAROQUE_POP;2012;251;Cancion;489397
134;Diamonds;Rihanna;BARBADIAN_POP;2012;225;Cancion;373346
135;Dont Stop the Party (feat. TJR);Pitbull;DANCE_POP;2012;206;Cancion;971283
136;You Da One;Rihanna;BARBADIAN_POP;2012;200;Cancion;398888
137;Stereo Hearts (feat. Adam Levine);Gym Class Heroes;DANCE_POP;2012;211;Cancion;367241
138;It Will Rain;Bruno Mars;POP;2012;258;Cancion;996447
139;Blow Me (One Last Kiss);P!nk;DANCE_POP;2012;256;Cancion;23768
140;Underneath the Tree;Kelly Clarkson;DANCE_POP;2013;230;Cancion;407730
141;Wake Me Up;Avicii;BIG_ROOM;2013;247;Cancion;865993
142;Story of My Life;One Direction;BOY_BAND;2013;245;Cancion;885493
143;Just Give Me a Reason (feat. Nate Ruess);P!nk;DANCE_POP;2013;243;Cancion;230211
144;Hall of Fame;The Script;CELTIC_ROCK;2013;203;Cancion;482970
145;Roar;Katy Perry;DANCE_POP;2013;224;Cancion;171528
146;We Cant Stop;Miley Cyrus;DANCE_POP;2013;231;Cancion;351501
147;Dont You Worry Child - Radio Edit;Swedish House Mafia;BIG_ROOM;2013;213;Cancion;108173
148;Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit;Daft Punk;ELECTRO;2013;248;Cancion;817385
149;Wrecking Ball;Miley Cyrus;DANCE_POP;2013;221;Cancion;160422
150;Impossible;James Arthur;POP;2013;209;Cancion;996075
151;Blurred Lines;Robin Thicke;DANCE_POP;2013;264;Cancion;90006
152;Heart Attack;Demi Lovato;DANCE_POP;2013;211;Cancion;1438
153;We Are Never Ever Getting Back Together;Taylor Swift;POP;2013;193;Cancion;386969
154;Die Young;Kesha;DANCE_POP;2013;212;Cancion;411425
155;Clarity;Zedd;COMPLEXTRO;2013;271;Cancion;209680
156;Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix;Lana Del Rey;ART_POP;2013;215;Cancion;586816
157;Under Control;Calvin Harris;DANCE_POP;2013;184;Cancion;414643
158;Everybody Talks;Neon Trees;INDIE_POP;2013;177;Cancion;857370
159;Hold On, Were Going Home;Drake;CANADIAN_HIP_HOP;2013;228;Cancion;916639
160;Best Song Ever;One Direction;BOY_BAND;2013;200;Cancion;394731
161;Kiss You;One Direction;BOY_BAND;2013;183;Cancion;186679
162;Sweet Nothing (feat. Florence Welch);Calvin Harris;DANCE_POP;2013;213;Cancion;546649
163;Lose Yourself to Dance;Daft Punk;ELECTRO;2013;354;Cancion;168366
164;Work Bitch;Britney Spears;DANCE_POP;2013;248;Cancion;238246
165;Brave;Sara Bareilles;ACOUSTIC_POP;2013;221;Cancion;806191
166;Cant Hold Us (feat. Ray Dalton);Macklemore & Ryan Lewis;DANCE_POP;2013;258;Cancion;330356
167;Feel This Moment (feat. Christina Aguilera);Pitbull;DANCE_POP;2013;230;Cancion;385353
168;Beneath Your Beautiful;Labrinth;POP;2013;272;Cancion;644206
169;Let Me Love You (Until You Learn To Love Yourself);Ne-Yo;DANCE_POP;2013;252;Cancion;199881
170;Thrift Shop (feat. Wanz);Macklemore & Ryan Lewis;DANCE_POP;2013;236;Cancion;376566
171;If I Lose Myself - Alesso vs OneRepublic;OneRepublic;DANCE_POP;2013;215;Cancion;772561
172;The Way;Ariana Grande;DANCE_POP;2013;227;Cancion;16975
173;Suit & Tie;Justin Timberlake;DANCE_POP;2013;326;Cancion;590249
174;#thatPOWER;will.i.am;DANCE_POP;2013;280;Cancion;662272
175;I Love It (feat. Charli XCX);Icona POP;CANDY_POP;2013;157;Cancion;533785
176;Play Hard (feat. Ne-Yo & Akon) - New Edit;David Guetta;DANCE_POP;2013;209;Cancion;147545
177;Daylight;Maroon 5;POP;2013;225;Cancion;46243
178;Love Somebody;Maroon 5;POP;2013;230;Cancion;288845
179;A Little Party Never Killed Nobody (All We Got);Fergie;DANCE_POP;2013;241;Cancion;143652
180;Move;Little Mix;DANCE_POP;2013;224;Cancion;716386
181;Walks Like Rihanna;The Wanted;BOY_BAND;2013;202;Cancion;360024
182;Rock N Roll;Avril Lavigne;canadian POP;2013;207;Cancion;100381
183;Heartbreaker;Justin Bieber;canadian POP;2013;263;Cancion;313241
184;Mirrors - Radio Edit;Justin Timberlake;DANCE_POP;2013;277;Cancion;599880
185;Next To Me;Emeli Sand�;DANCE_POP;2013;197;Cancion;228932
186;Made In The USA;Demi Lovato;DANCE_POP;2013;196;Cancion;637670
187;Clown;Emeli Sand�;DANCE_POP;2013;221;Cancion;712246
188;Girl On Fire (feat. Nicki Minaj) - Inferno Version;Alicia Keys;HIP_POP;2013;271;Cancion;76318
189;TKO;Justin Timberlake;DANCE_POP;2013;424;Cancion;822186
190;Come & Get It;Selena Gomez;DANCE_POP;2013;232;Cancion;92403
191;Live It Up;Jennifer Lopez;DANCE_POP;2013;244;Cancion;973589
